,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
220,0.0,-0.3492415,0.522142,20.695095,3.177405,-0.000573753,-1.2884998e+07,,480
221,0.0,-0.28728428,0.07071054,6.166167,0.6963046,0.03992561,-1.281291e+07,-1.6257592e+07,479
222,0.0,-0.8754257,-0.068289235,13.374937,0.8925296,0.80654716,-1.2530996e+07,-1.6257592e+07,478
223,0.0,0.5054626,-0.38319,9.097328,1.5211344,0.19016273,-1.2481944e+07,,477
224,0.0,0.3840298,-0.3483268,9.814764,1.3894103,2.7600412,-1.2462711e+07,-3.2306556e+07,476
225,0.0,0.6354928,-0.7296769,5.9207864,0.5906151,-0.8642527,-1.2452774e+07,,475
226,0.0,-0.6048993,0.14659776,19.437044,1.8490884,0.8711018,-1.2325814e+07,-3.2306556e+07,474
227,0.0,-0.3869452,0.16133451,15.582314,1.7016443,0.026569324,-1.1827936e+07,,473
228,0.0,-0.0703957,-0.50800955,7.861309,-0.46951947,0.9322539,-1.1719792e+07,,472
229,0.0,-0.06041519,0.2235513,16.42338,2.4502587,1.9097472,-1.1626584e+07,,471
230,0.0,-0.9796414,-0.14453952,11.732418,-0.6543572,1.8898467,-1.1609532e+07,,470
231,0.0,0.224495,-0.027670277,13.473019,2.1785185,1.0077279,-1.1564906e+07,-7.953328e+07,469
232,0.0,-0.9521805,0.33721837,18.005522,1.5588763,1.070702,-1.1105147e+07,,468
233,0.0,0.01272419,-0.20265323,11.059155,1.129063,0.7143355,-1.1104084e+07,,467
234,0.0,-0.007554895,-0.30469686,9.92561,0.8622671,1.6231838,-1.1007436e+07,,466
235,0.0,0.053175952,-0.42147595,8.707481,0.66864675,-0.42053878,-1.0963852e+07,,465
236,0.0,-0.25406426,0.056949705,14.213398,1.4940599,-0.6311457,-1.0817293e+07,,464
237,0.0,-0.91892165,0.8210572,25.30369,2.969759,-1.0629123,-1.0647077e+07,,463
238,0.0,-0.8155574,0.28931823,17.33183,1.5126262,2.1314576,-1.0492975e+07,,462
239,0.0,0.373148,0.012364508,9.331504,1.845885,1.614294,-1.0440265e+07,-3.47365e+08,461
240,0.0,-0.5288984,-0.07357373,12.580857,0.9245556,0.54585004,-1.0220685e+07,,460
241,0.0,-0.78754824,-0.053635437,12.824298,0.8212969,1.3235624,-1.0158711e+07,,459
242,0.0,-0.29157752,0.11505121,14.968672,1.5462133,0.93641967,-9.953027e+06,,458
243,0.0,-0.7776186,0.2961831,17.427765,1.5030249,0.8107194,-9.726635e+06,,457
244,0.0,-0.7208618,0.44181326,19.510109,1.9272795,2.2647064,-9.662348e+06,,456
245,0.0,-0.20910677,0.2958633,16.381313,2.0664027,0.9391534,-9.634805e+06,-7.953328e+07,455
246,0.0,-0.63034713,0.28844002,17.31957,1.6100322,2.4975963,-9.613941e+06,,454
247,0.0,-0.16579224,0.43997827,10.771766,1.5553578,1.9765232,-9.503092e+06,-1.6257592e+07,453
248,0.0,-0.09940168,-0.09289939,12.346998,1.1865652,-1.2598901,-9.432142e+06,,452
249,0.0,0.60708207,-0.84542,5.0396276,0.22613432,1.1297747,-9.079261e+06,,451
250,0.0,-0.4997262,-0.6832412,6.299865,-0.1524452,-0.50050294,-9.074234e+06,,500
251,0.0,-0.55928344,0.4334459,19.388111,2.034383,1.4590411,-9.059969e+06,,499
252,0.0,-0.12931082,-0.41735238,8.749019,-0.513324,4.1994205,-8.996477e+06,,498
253,0.0,0.09838779,-0.26421982,10.367694,0.9605988,1.9984572,-8.959914e+06,,497
254,0.0,-0.1631834,-0.5076679,7.864554,-0.3780368,-0.18090874,-8.950294e+06,,496
255,0.0,-0.8803375,-0.33762562,9.573432,0.3824112,1.3352703,-8.903351e+06,,495
256,0.0,-0.6281694,0.093049,14.680658,1.1134456,1.1515126,-8.869403e+06,,494
