,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
179,0.0,-0.68395007,-0.26424706,0.094931446,10.367393,-5.6525126,-0.009971036,-1.2477902e+08,,971
180,0.0,-0.23339768,-0.21720967,-0.22701114,10.893623,-5.3932357,-0.08437208,-1.2281398e+08,,970
181,0.0,0.77553344,-0.51068014,-0.28829688,7.8359756,-7.776167,3.8772273,-1.2232703e+08,,969
182,0.0,-0.42712483,-0.6784494,0.51203597,7.0043087,4.406865,0.86508024,-1.1869795e+08,-1.9746694e+08,968
183,0.0,-0.23852627,-0.22251542,-0.41425988,10.833601,-3.4390254,2.7738109,-1.1855767e+08,,967
184,0.0,-0.08725405,-0.5744225,-0.101364896,7.2453194,2.3248801,-8.634524,-1.1743826e+08,,966
185,0.0,-0.2853477,-0.40972805,-0.091185614,8.826105,-3.6748984,4.207399,-1.17101496e+08,,965
186,0.0,-0.6897245,-0.6592557,0.14461517,6.501395,1.9893667,-6.2409787,-1.1616082e+08,,964
187,0.0,-0.17754014,-1.1618123,0.6967063,5.287522,2.5352738,-2.7684336,-1.1408327e+08,-3.197771e+09,963
188,0.0,0.037930373,-0.7833495,0.7864174,5.5008698,6.032159,1.7834643,-1.1334589e+08,,962
189,0.0,0.7402947,-0.2079725,-0.6365783,10.998521,-7.001648,1.2501181,-1.115281e+08,,961
190,0.0,-0.9816233,-0.7830189,0.5584875,5.503396,-2.238927,-5.418275,-1.1012965e+08,,960
191,0.0,-0.99212945,-0.5143954,0.24945916,7.8008084,2.9940352,6.7039227,-1.1010884e+08,,959
192,0.0,0.460453,-0.3474927,-0.24333088,9.46922,-7.4446306,-1.5350072,-1.0909021e+08,,958
193,0.0,-0.5071036,-0.46513402,-0.5118194,7.5533304,-0.13134116,3.0949893,-1.0758966e+08,-3.197771e+09,957
194,0.0,-0.99542785,-0.635395,0.6615708,6.7057376,3.5317874,1.9581364,-1.0731847e+08,,956
195,0.0,-0.19332275,0.14590342,-0.4495913,15.376563,-9.058906,-1.36339,-1.0375183e+08,,955
196,0.0,0.17528887,0.18204385,-0.79019785,15.860239,7.5848446,1.5757749,-1.0223067e+08,,954
197,0.0,-0.8792726,0.075659126,0.14854956,14.4547415,9.382134,5.0719533,-1.0145685e+08,,953
198,0.0,-0.039521407,-0.9121126,0.8642186,4.573056,-4.164147,4.4729085,-1.0131215e+08,,952
199,0.0,-0.7224513,0.38472778,-0.50103176,18.683374,9.539751,-0.86071306,-1.00969416e+08,,951
200,0.0,-0.12931082,-0.41735238,0.40574434,8.749019,-7.5666203,15.997103,-9.99971e+07,,1000
201,0.0,-0.7255559,-0.8390438,0.3514273,5.085807,1.4822816,0.5845502,-9.828579e+07,,999
202,0.0,0.33435914,-0.42832255,0.049749408,8.638759,7.898736,-6.2159142,-9.76885e+07,,998
203,0.0,0.46563238,-0.37479547,-0.21564439,9.184056,-6.8466706,-0.36280376,-9.601419e+07,,997
204,0.0,-0.116322026,-1.163595,0.93279946,3.0777373,2.0363503,0.13120046,-9.450812e+07,,996
205,0.0,0.49896577,-1.2587125,0.6218016,2.616196,-1.7887571,-5.0474896,-9.184595e+07,,995
206,0.0,-0.16485217,-0.6926651,0.43963966,6.2217493,-3.7729042,-6.6274705,-9.137137e+07,,994
207,0.0,-0.17732334,-0.5884684,0.53218555,7.118807,5.3843627,-4.965229,-9.117948e+07,,993
208,0.0,-0.01305919,0.46487364,0.3854163,3.7311573,-6.4221325,4.606512,-9.09596e+07,-1.00969416e+08,992
209,0.0,-0.009119845,-0.685373,0.59035134,4.991017,4.205006,-0.7420663,-9.035524e+07,-1.9746694e+08,991
210,0.0,-0.25663987,-0.4927688,0.337534,8.006789,5.030222,0.5569368,-8.930034e+07,,990
211,0.0,-0.9087202,-1.0661052,0.7930791,3.6088505,-1.2746408,7.209725,-8.8931384e+07,,989
212,0.0,-0.7185289,-0.60664076,0.9145833,6.9570885,4.8643937,-5.290414,-8.665976e+07,,988
213,0.0,-0.70431405,0.19705103,-0.53303146,16.062914,5.769001,-10.291476,-8.664958e+07,,987
214,0.0,-0.75767964,-0.023811623,0.16640793,13.1925,-7.8312097,-3.8209326,-8.522057e+07,,986
215,0.0,-0.72914416,-0.22958247,-0.0955719,17.280233,6.1590676,-0.61839443,-8.504457e+07,-5.268805e+08,985
216,0.0,0.29859206,-0.024319453,-0.5630641,13.186189,7.093759,0.89539284,-8.462815e+07,,984
217,0.0,-0.34319273,-1.0166594,0.84656435,3.901467,-2.192982,-7.770559,-8.453716e+07,,983
218,0.0,-0.122051984,-0.85605365,0.60363084,4.963227,-3.0011551,5.5625253,-8.436146e+07,,982
219,0.0,-0.7503964,-0.054897327,0.62664753,7.80089,6.3396826,-3.6480675,-8.399434e+07,-1.00969416e+08,981
